trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
150,False,"{'a': 0.3, 'e': 0.22313016014842982}",20,0,8.982939000893532,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
151,False,"{'a': 0.3, 'e': 0.2209099779593782}",25,0,5.123530320333043,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
152,False,"{'a': 0.3, 'e': 0.21871188695221475}",20,0,-41.676537914957215,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
153,False,"{'a': 0.3, 'e': 0.21653566731600707}",25,2,23.12033629075,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.3, 'e': 0.21438110142697794}",30,10,4.138994054574575,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
155,False,"{'a': 0.3, 'e': 0.21224797382674304}",20,0,18.94232611883636,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
156,False,"{'a': 0.3, 'e': 0.21013607120076472}",30,0,42.06806437349586,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
157,False,"{'a': 0.3, 'e': 0.20804518235702046}",35,16,4.865523173986883,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 0}",1
158,False,"{'a': 0.3, 'e': 0.20597509820488344}",25,14,-35.277735860125105,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
159,False,"{'a': 0.3, 'e': 0.20392561173421342}",20,5,-45.3582011528083,"{0: 11, 1: 0, 2: 2, 3: 2, 4: 0}",1
160,False,"{'a': 0.3, 'e': 0.20189651799465538}",25,6,11.255102511872293,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.3, 'e': 0.1998876140751445}",20,12,-29.359428130220742,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
162,False,"{'a': 0.3, 'e': 0.19789869908361465}",20,3,9.769326912937288,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.3, 'e': 0.19592957412690934}",25,4,12.24532992883512,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 0}",1
164,False,"{'a': 0.3, 'e': 0.19398004229089189}",25,14,-0.2680879242347962,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
165,False,"{'a': 0.3, 'e': 0.19204990862075408}",20,0,2.7269373770917262,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
166,False,"{'a': 0.3, 'e': 0.1901389801015205}",25,5,-53.95510466746627,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",1
167,False,"{'a': 0.3, 'e': 0.1882470656387468}",25,6,-29.93316198336573,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
168,False,"{'a': 0.3, 'e': 0.18637397603940997}",30,20,18.179222390480795,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.3, 'e': 0.18451952399298926}",20,12,-24.605094536165506,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
170,False,"{'a': 0.3, 'e': 0.18268352405273466}",20,9,6.3211232397388155,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.3, 'e': 0.1808657926171221}",20,3,4.4981188688835365,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
172,False,"{'a': 0.3, 'e': 0.17906614791149322}",20,8,16.022790316583,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.3, 'e': 0.17728440996987782}",20,3,23.672460833446156,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.3, 'e': 0.17552040061699686}",20,11,-24.504991844395075,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
175,False,"{'a': 0.3, 'e': 0.17377394345044514}",30,22,14.812008050295189,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.3, 'e': 0.17204486382305054}",20,0,9.827063330291942,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
177,False,"{'a': 0.3, 'e': 0.17033298882540943}",20,0,21.3117327684352,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
178,False,"{'a': 0.3, 'e': 0.1686381472685955}",20,11,9.209570359532844,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.3, 'e': 0.1669601696670407}",30,19,20.60081987563063,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.3, 'e': 0.16529888822158653}",20,4,13.622782743359467,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.3, 'e': 0.16365413680270405}",25,16,-6.316310115195435,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
182,False,"{'a': 0.3, 'e': 0.16202575093388075}",20,0,7.598902228851588,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
183,False,"{'a': 0.3, 'e': 0.16041356777517274}",30,17,1.262949067889271,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
